GCA_011316035.2	5480	Candida parapsilosis	90-137
GCA_008764215.1	5480	Candida parapsilosis	DE0235
GCA_000982675.1	5480	Candida parapsilosis	GA1
GCA_000982555.2	5480	Candida parapsilosis	CBS6318
GCA_013177575.1	52253	Candida sojae	NCYC-2607
GCA_001442715.1	52253	Candida sojae	GF41
GCA_001005365.1	1759314	Candida sp. LDI48194	LDI48194
GCF_000006335.3	294747	Candida tropicalis MYA-3404	MYA-3404
GCA_000006335.3	294747	Candida tropicalis MYA-3404	MYA-3404
GCA_006942135.1	294747	Candida tropicalis MYA-3404	MYA-3404
GCA_002864075.1	5482	Candida tropicalis	
GCA_000633855.1	5482	Candida tropicalis	121
GCA_003327735.1	5486	Candida viswanathii	ATCC 20962
GCA_003706395.1	130807	Danielozyma ontarioensis	NRRL YB-1246
GCA_900186205.1	45577	[Candida] psychrophila	
GCF_001447935.2	58627	Debaryomyces fabryi	CBS 789
GCA_001447935.2	58627	Debaryomyces fabryi	CBS 789
GCA_003708665.2	58627	Debaryomyces fabryi	NRRL Y-17914
GCA_006942325.1	4959	Debaryomyces hansenii	NRRL YB-155
GCA_006942305.1	4959	Debaryomyces hansenii	NRRL Y-1449
GCA_006942235.1	4959	Debaryomyces hansenii	NRRL Y-7426
GCA_006942225.1	4959	Debaryomyces hansenii	NRRL Y-17914
GCA_006942215.1	4959	Debaryomyces hansenii	NRRL YB-398
GCA_006942205.1	4959	Debaryomyces hansenii	J26
GCA_003349505.1	4959	Debaryomyces hansenii	Y-3
GCA_001682995.1	4959	Debaryomyces hansenii	J6
GCF_000006445.2	284592	Debaryomyces hansenii CBS767	CBS767
GCA_000006445.2	284592	Debaryomyces hansenii CBS767	CBS767
GCA_000239015.2	1118155	Debaryomyces hansenii var. hansenii MTCC 234	MTCC 234
GCA_003708605.2	27297	Debaryomyces maramus	NRRL Y-2171
GCA_003708585.1	27299	Debaryomyces nepalensis	NRRL Y-7108
GCA_003708935.1	148098	Debaryomyces prosopidis	NRRL Y-27369
GCA_003708965.1	522693	Debaryomyces subglobosus	NRRL Y-6666
GCA_003708205.1	87895	[Candida] gotoi	NRRL Y-27225
GCA_003708185.2	45581	[Candida] rhagii	NRRL Y-2594
GCF_001661395.1	984485	Hyphopichia burtonii NRRL Y-1933	NRRL Y-1933
GCA_001661395.1	984485	Hyphopichia burtonii NRRL Y-1933	NRRL Y-1933
GCA_003856795.1	717740	Hyphopichia burtonii	
GCA_003706925.2	507511	Hyphopichia heimii	NRRL Y-7502
GCA_001599095.1	45558	Hyphopichia homilentoma	JCM 1507
GCA_003856775.1	717741	Hyphopichia pseudoburtonii	
GCA_003706895.1	52254	[Candida] fragi	NRRL Y-17910
GCA_003707405.1	45587	[Candida] schatavii	NRRL Y-17078
GCA_003707135.1	121466	Kurtzmaniella cleridarum	NRRL Y-48386
GCF_000149685.1	379508	Lodderomyces elongisporus NRRL YB-4239	NRRL YB-4239
GCA_000149685.1	379508	Lodderomyces elongisporus NRRL YB-4239	NRRL YB-4239
GCA_003705555.1	304220	Meyerozyma athensensis	NRRL Y-27644
GCA_000755205.1	1091232	Meyerozyma caribbica MG20W	MG20W
GCA_900232065.1	66948	Meyerozyma caribbica	
GCA_900232055.1	66948	Meyerozyma caribbica	
GCA_900231995.1	66948	Meyerozyma caribbica	
GCA_900231965.1	66948	Meyerozyma caribbica	
GCA_003707125.2	66948	Meyerozyma caribbica	NRRL Y-27274
GCA_001599235.1	374178	Meyerozyma carpophila	JCM 9396
GCF_000149425.1	294746	Meyerozyma guilliermondii ATCC 6260	ATCC 6260
GCA_000149425.1	294746	Meyerozyma guilliermondii ATCC 6260	ATCC 6260
GCA_900500645.1	4929	Meyerozyma guilliermondii	W2
GCA_900174495.1	4929	Meyerozyma guilliermondii	
GCA_009756405.1	4929	Meyerozyma guilliermondii	YLG18
GCA_008062615.1	4929	Meyerozyma guilliermondii	SO
GCA_008000345.1	4929	Meyerozyma guilliermondii	RP-YS-11
GCA_006942155.1	294746	Meyerozyma guilliermondii ATCC 6260	ATCC 6260
GCA_003676015.1	2028340	Meyerozyma sp. JA9	JA9
GCA_001600675.1	28986	Millerozyma acaciae	JCM 10732
GCA_002196765.1	4920	Millerozyma farinosa	KCTC 27753
GCA_003706045.1	1196395	Peterozyma toletana	NRRL YB-4247
GCA_003706035.1	1337056	Peterozyma xylosa	NRRL Y-12939
GCA_003243075.1	1337056	Peterozyma xylosa	NRRL Y-12939
GCA_003709225.2	28549	Priceomyces carsonii	NRRL YB-4275
GCA_003706855.2	45501	Priceomyces castillae	NRRL Y-7501
GCA_001599895.1	45502	Priceomyces haplophilus	JCM 1635
GCA_003705335.1	45504	Priceomyces medius	NRRL Y-7122
GCA_001599395.1	1111081	Scheffersomyces lignosus	JCM 9837
GCA_002118035.1	45589	Scheffersomyces shehatae	ATY839
GCA_002118155.1	45589	Scheffersomyces shehatae	NBRC 1983
GCA_002245345.1	1751990	Scheffersomyces stambukii	UFMG-CM-Y427
GCF_000209165.1	322104	Scheffersomyces stipitis CBS 6054	CBS 6054
GCA_000209165.1	322104	Scheffersomyces stipitis CBS 6054	CBS 6054
GCA_006942115.1	322104	Scheffersomyces stipitis CBS 6054	CBS 6054
GCA_000497715.1	1343157	Spathaspora arborariae UFMG-19.1A	UFMG-19.1A
GCA_002094185.1	1701548	Spathaspora boniae	UFMG-CM-Y306
GCA_001657455.1	1774708	Spathaspora girioi	UFMG-CM-Y302
GCA_001655765.1	1852163	Spathaspora gorwiae	UFMG-CM-Y312
GCA_001655755.1	1774706	Spathaspora hagerdaliae	UFMG-CM-Y303
GCF_000223485.1	619300	Spathaspora passalidarum NRRL Y-27907	NRRL Y-27907
GCA_000223485.1	619300	Spathaspora passalidarum NRRL Y-27907	NRRL Y-27907
GCA_003676035.1	2028339	Spathaspora sp. JA1	JA1
GCA_002911495.1	1864610	Spathaspora sp. UFMG-CM-Y6060	UFMG-CM-Y6060
GCA_002105455.1	1699422	Spathaspora xylofermentans	UFMG-HMD23.3
GCA_003706525.1	147334	Suhomyces canberraensis	NRRL YB-2417
GCA_003707835.2	246006	Suhomyces emberorum	NRRL Y-27606
GCA_003706505.2	147331	Suhomyces pyralidae	NRRL Y-27085
GCF_001661415.1	984487	Suhomyces tanzawaensis NRRL Y-17324	NRRL Y-17324
GCA_001661415.1	984487	Suhomyces tanzawaensis NRRL Y-17324	NRRL Y-17324
GCA_003706575.1	268492	Teunomyces cretensis	NRRL Y-27777
GCA_003706565.2	392264	Teunomyces gatunensis	NRRL Y-48064
GCA_003706535.1	45561	Teunomyces kruisii	NRRL Y-17087
GCA_001599155.1	45790	Wickerhamia fluorescens	JCM 1821
GCA_002068075.1	45518	[Candida] aaseri	SH-14
GCA_003708745.2	391823	[Candida] ascalaphidarum	NRRL Y-27908
GCA_003708985.2	271357	[Candida] gorgasii	NRRL Y-27707
GCA_003708705.1	130808	[Candida] tammaniensis	NRRL Y-8257
GCA_002109505.1	1944661	Yamadazyma laniorum	yHMH7
GCA_003706715.1	45506	Yamadazyma nakazawae	NRRL Y-7903
GCA_003706995.2	45510	Yamadazyma philogaea	NRRL Y-7813
GCA_003707025.1	45511	Yamadazyma scolyti	NRRL Y-5512
GCF_000223465.1	590646	Yamadazyma tenuis ATCC 10573	ATCC 10573
GCA_000223465.1	590646	Yamadazyma tenuis ATCC 10573	ATCC 10573
GCA_003707475.1	27315	Dipodascus albidus	NRRL Y-12859
GCA_003708655.1	44078	Dipodascus geniculatus	NRRL Y-17628
GCA_013305925.1	43985	Galactomyces reessii	LMA-1148
GCA_013305595.1	1173061	Geotrichum candidum	LMA-317
GCA_013305805.1	1173061	Geotrichum candidum	LMA-1147
GCA_011420275.1	1173061	Geotrichum candidum	B1101
GCA_002233575.1	44066	Geotrichum fermentans	CICC 1368
GCA_900497725.1	1294685	Magnusiomyces capitatus NRRL Y-17686	
GCA_000817185.1	1449804	Magnusiomyces capitatus CNRMA 12.647	CNRMA 12.647
GCA_900497715.1	1294639	Magnusiomyces ingens NRRL Y-17630	
GCA_003708635.2	1294638	Magnusiomyces tetraspermus NRRL Y-7288	NRRL Y-7288
GCA_900654225.1	1734004	Saprochaete fungicola	
GCF_902498895.1	2606893	Saprochaete ingens	
GCA_902498895.1	2606893	Saprochaete ingens	
GCA_900642975.1	44074	Saprochaete suaveolens	
GCA_003705295.1	45794	Sporopachydermia lactativora	NRRL Y-11591
GCA_001599295.1	54094	Sporopachydermia quercuum	JCM 9486
GCA_900518985.1	479092	Yarrowia alimentaria	
GCA_900519075.1	1402413	Yarrowia bubula	
GCA_003707035.1	1402413	Yarrowia bubula	NRRL Y-63668
GCA_900519085.1	1608523	Yarrowia deformans	
GCA_001600075.1	1608523	Yarrowia deformans	JCM 1694
GCA_900519045.1	479095	Yarrowia divulgata	
GCA_003708045.1	479095	Yarrowia divulgata	NRRL Y-63741
GCA_900519055.1	197054	Yarrowia galli	
GCA_007844265.1	197054	Yarrowia galli	HXPF_0137
GCA_900519065.1	479094	Yarrowia hollandica	
GCA_001600195.1	1635098	Yarrowia keelungensis	JCM 14894
GCA_900519035.1	1635098	Yarrowia keelungensis	
GCA_900537225.1	4952	Yarrowia lipolytica	
GCA_900087985.1	4952	Yarrowia lipolytica	
GCA_012654145.1	4952	Yarrowia lipolytica	W29
GCA_009372015.1	4952	Yarrowia lipolytica	PO1f
GCA_009194645.1	4952	Yarrowia lipolytica	YlCW001
GCA_003698155.1	4952	Yarrowia lipolytica	FKP355
GCA_003571385.1	4952	Yarrowia lipolytica	NCIM 3589
GCA_003571375.1	4952	Yarrowia lipolytica	NCIM 3590
GCA_003367965.1	4952	Yarrowia lipolytica	YB420
GCA_003367945.1	4952	Yarrowia lipolytica	YB566
GCA_003367925.1	4952	Yarrowia lipolytica	YB419
GCA_003367865.1	4952	Yarrowia lipolytica	YB392
GCA_003367845.1	4952	Yarrowia lipolytica	YB567
GCA_003243785.1	4952	Yarrowia lipolytica	CBA6003
GCA_003054365.1	4952	Yarrowia lipolytica	IBT 446
GCA_003054345.1	4952	Yarrowia lipolytica	W29 (CLIB89)
GCA_003054305.1	4952	Yarrowia lipolytica	H222 (CLIB 80)
GCA_001761485.1	4952	Yarrowia lipolytica	CLIB89(W29)
GCA_001307795.1	4952	Yarrowia lipolytica	W29
GCF_000002525.2	284591	Yarrowia lipolytica CLIB122	CLIB122
GCA_000002525.1	284591	Yarrowia lipolytica CLIB122	CLIB122
GCA_000590845.2	1445506	Yarrowia lipolytica PO1f	PO1f
GCA_000613145.2	1437815	Yarrowia lipolytica WSH-Z06	WSH-Z06
GCA_900519015.1	388557	Yarrowia osloensis	
GCA_900519005.1	444778	Yarrowia phangngaensis	
GCA_900519025.1	1540335	Yarrowia porcina	
GCA_001600515.1	1635099	Yarrowia sp. JCM 30694	JCM 30694
GCA_001602355.1	1635101	Yarrowia sp. JCM 30695	JCM 30695
GCA_001600535.1	1635100	Yarrowia sp. JCM 30696	JCM 30696
GCA_900518995.1	1527289	Yarrowia yakushimensis	
GCA_003285555.1	45537	Diutina catenulata	
GCF_008704595.1	5481	Diutina rugosa	CBS 613
GCA_008704595.1	5481	Diutina rugosa	CBS 613
GCF_000576695.1	1382522	Kuraishia capsulata CBS 1993	CBS 1993
GCA_000576695.1	1382522	Kuraishia capsulata CBS 1993	CBS 1993
GCA_003706305.2	317048	Kuraishia molischiana	NRRL Y-27899
GCA_003706285.2	537810	Kuraishia ogatae	NRRL Y-48474
GCA_003707585.2	56418	Lipomyces arxii	NRRL Y-17921
GCA_003705865.1	383834	Lipomyces doorenjongii	NRRL Y-27504
GCA_003705895.1	56871	Lipomyces japonicus	NRRL Y-17848
GCA_003705905.1	34357	Lipomyces kononenkoae	NRRL Y-11553
GCA_003705915.1	36043	Lipomyces lipofer	NRRL Y-11555
GCA_003705845.2	56874	Lipomyces mesembrius	NRRL Y-27506
GCA_003707545.2	45792	Lipomyces oligophaga	NRRL Y-17247
GCA_001661325.1	675824	Lipomyces starkeyi NRRL Y-11557	NRRL Y-11557
GCA_003705835.2	1337062	Lipomyces suomiensis	NRRL Y-17356
GCA_003707435.1	43968	Aciculoconidium aculeatum	NRRL YB-4298
GCF_002775015.1	498019	[Candida] auris	B11221
GCA_002775015.1	498019	[Candida] auris	B11221
GCA_902703835.1	498019	[Candida] auris	
GCA_902703825.1	498019	[Candida] auris	
GCA_902703815.1	498019	[Candida] auris	
GCA_902703805.1	498019	[Candida] auris	
GCA_902703725.1	498019	[Candida] auris	
GCA_902703685.1	498019	[Candida] auris	
GCA_902703675.1	498019	[Candida] auris	
GCA_902703595.1	498019	[Candida] auris	
GCA_902703585.1	498019	[Candida] auris	
GCA_902703575.1	498019	[Candida] auris	
GCA_902703565.1	498019	[Candida] auris	
GCA_902703555.1	498019	[Candida] auris	
GCA_902703535.1	498019	[Candida] auris	
GCA_902703525.1	498019	[Candida] auris	
GCA_902703515.1	498019	[Candida] auris	
GCA_902703505.1	498019	[Candida] auris	
GCA_902703495.1	498019	[Candida] auris	
GCA_902703485.1	498019	[Candida] auris	
GCA_902703475.1	498019	[Candida] auris	
GCA_902703465.1	498019	[Candida] auris	
GCA_902703455.1	498019	[Candida] auris	
GCA_902703445.1	498019	[Candida] auris	
GCA_902703435.1	498019	[Candida] auris	
GCA_009602605.1	498019	[Candida] auris	CA_HTX1
GCA_008729275.1	498019	[Candida] auris	394-3
GCA_008729255.1	498019	[Candida] auris	394-2
GCA_008729205.1	498019	[Candida] auris	367
GCA_008729195.1	498019	[Candida] auris	394-1
GCA_008729175.1	498019	[Candida] auris	214
GCA_008729165.1	498019	[Candida] auris	288
GCA_008275145.1	498019	[Candida] auris	B11245
GCA_007168705.1	498019	[Candida] auris	JCM 15448
GCA_005234155.1	498019	[Candida] auris	LOM
GCA_004287075.1	498019	[Candida] auris	RCPF-1821
GCA_003014415.1	498019	[Candida] auris	B11243
GCA_003013715.2	498019	[Candida] auris	B11220
GCA_002759435.2	498019	[Candida] auris	B8441
GCA_001189475.1	498019	[Candida] auris	6684
GCA_003706955.2	391824	[Candida] blattae	NRRL Y-27698
GCF_002926085.2	1231522	[Candida] duobushaemulonis	B09383
GCA_002926085.1	1231522	[Candida] duobushaemulonis	B09383
GCA_011426315.1	1231522	[Candida] duobushaemulonis	BMU05314
GCF_002926055.2	45357	[Candida] haemuloni	B11899
GCA_002926055.1	45357	[Candida] haemuloni	B11899
GCA_012184655.1	1231523	[Candida] haemuloni var. vulnera	K2
GCA_012184645.1	1231523	[Candida] haemuloni var. vulnera	K1
GCA_011426285.1	45357	[Candida] haemuloni	BMU05228
GCA_003708405.1	487108	[Candida] heveicola	NRRL Y-48716
GCA_900106115.1	45354	[Candida] intermedia	CBS 141442
GCA_900106125.1	45354	[Candida] intermedia	PYCC 4715
GCA_001599135.1	45354	[Candida] intermedia	JCM 1607
GCA_003707785.2	46584	[Candida] oregonensis	NRRL Y-5850
GCF_003013735.1	418784	[Candida] pseudohaemulonis	B12108
GCA_003013735.1	418784	[Candida] pseudohaemulonis	B12108
GCA_002933435.1	418784	[Candida] pseudohaemulonis	UZ153_17
GCA_003707795.1	46582	Clavispora fructus	NRRL Y-17072
GCA_009498135.1	36911	Clavispora lusitaniae	P4
GCA_009498115.1	36911	Clavispora lusitaniae	P5
GCA_009498095.1	36911	Clavispora lusitaniae	P3
